Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160515_1500,30,230,227,0,21.6,151,20160515_1509,2524,6.18,0.88
20160515_1530,30,209,206,0,21.5,138,20160515_1539,2475,6.26,0.86
20160515_1600,30,208,205,0,21.4,137,20160515_1609,2385,6.16,0.86
20160515_1630,30,193,189,0,21.3,118,20160515_1639,2515,6.44,0.86
20160515_1700,30,163,159,0,21.2,110,20160515_1709,2436,6.38,0.85
20160515_1730,30,142,139,0,21.1,101,20160515_1739,2501,6.38,0.86
20160515_1800,30,172,168,0,21.1,120,20160515_1809,2511,6.45,0.85
20160515_1830,30,179,175,0,21.2,120,20160515_1839,2361,6.11,0.85
20160515_1900,30,203,199,0,21.3,133,20160515_1909,2698,6.49,0.88
20160515_1930,30,224,220,0,21.4,160,20160515_1939,2604,6.12,0.9
20160515_2000,30,260,256,0,21.5,165,20160515_2009,2645,6.02,0.91
20160515_2030,30,259,255,0,21.6,168,20160515_2039,2932,6.01,0.96
20160515_2100,30,238,234,0,21.6,155,20160515_2109,3013,6.14,0.97
20160515_2130,30,226,222,0,21.5,149,20160515_2139,2397,5.96,0.88
20160515_2200,30,210,206,0,21.4,139,20160515_2209,2510,6.07,0.89
20160515_2230,30,175,171,0,21.3,114,20160515_2239,2590,6.18,0.89
20160515_2300,30,201,196,0,21.2,132,20160515_2309,2474,6.12,0.88
20160515_2330,30,160,156,0,21.1,110,20160515_2339,2736,5.96,0.94
20160516_0000,30,197,192,0,21.1,135,20160516_0009,2595,5.93,0.92
20160516_0030,30,239,234,0,21.2,155,20160516_0039,2539,5.89,0.91
20160516_0100,30,218,214,0,21.3,142,20160516_0109,2547,5.89,0.91
20160516_0130,30,291,287,0,21.4,193,20160516_0139,2764,6.14,0.93
20160516_0200,30,290,286,0,21.5,193,20160516_0209,2596,5.77,0.93
20160516_0230,30,302,298,0,21.6,196,20160516_0239,2487,5.99,0.89
20160516_0300,30,299,295,0,21.6,196,20160516_0309,2624,5.82,0.93
20160516_0330,30,276,272,0,21.5,183,20160516_0339,2562,5.75,0.93
20160516_0400,30,251,247,0,21.4,166,20160516_0409,2767,5.75,0.96
20160516_0430,30,238,233,0,21.3,156,20160516_0439,2644,5.71,0.95
20160516_0500,30,232,227,0,21.2,151,20160516_0509,2795,5.67,0.98
20160516_0530,30,203,198,0,21.1,139,20160516_0539,2512,5.67,0.93
20160516_0600,30,202,197,0,21.1,138,20160516_0609,2742,5.68,0.97
20160516_0630,30,230,225,0,21.2,150,20160516_0639,2599,5.55,0.95
20160516_0700,30,256,252,0,21.3,169,20160516_0709,2484,5.62,0.92
20160516_0730,30,304,301,0,21.4,205,20160516_0739,2915,5.65,1
20160516_0800,30,291,288,0,21.5,196,20160516_0809,2805,5.86,0.96
20160516_0830,30,307,303,0,21.6,204,20160516_0839,2688,5.63,0.96
